What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;Chocolate makes you.....;When is your birthday (date)?;Number of neighbors sitting around you?;Did you stand up?;What is your stress level (0-100)?;You can get 100 euros if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would deserve then? ;Give a random number;Time you went to be Yesterday;What makes a good day for you (1)?;What makes a good day for you (2)?
Artificial Intelligence;no;0;mu;nee;male;slim;16-03-1996;0;no;5;37;14;23:30;laughs;sports
Master Finance, QRM;yes;0;mu;nee;male;I have no idea what you are talking about;1993/07/28;0;no;60;50;9;23,3;Lots of Laughs;Getting stuff done!
Business Analytics;yes;0;mu;nee;female;fat;14 March;0;no;35;0.21 euro;7;01:26;Good weather;Intensive sport training
MSc Digital Business and Innovation (VU);yes;1;mu;ja;female;neither;26/09/1995;0;no;10;0,25 euros;98;23:00;reaching a certain level of productivity (e.g., reading, doing sports, doing assignments);having some laughs with friends and family
Computer Science(Big Data Engineering Track);yes;1;mu;ja;female;neither;1997/11/04;0;no;80;100;100;23:30;nice weather;tasty food
M.Sc. in Computer Science;no;0;unknown;unknown;male;I have no idea what you are talking about;14-07-1997;3;unknown;90;60;99;23;weather;friends
QRM;yes;0;mu;nee;male;fat;14-05-1997;0;no;30;10;5;23:00;Sport;Seeing friends
Artificial Intelligence;yes;1;mu;nee;female;neither;22-06-1997;0;no;88;90;78;home;research project goes on well, school work goes on well;read some good papers, I know I am nerdy :)
QRM;yes;0;mu;nee;male;fat;14-05-1997;0;no;30;10;5;23:00;Sport;Seeing friends
Econometrics;yes;1;mu;nee;female;fat;17.09.1997;0;no;60;60;74;24;sunshine;coffee
MSc Econometrics and Operations Research;yes;unknown;mu;ja;female;fat;17-10-1996;2;no;60;Depends on the number of people it is divided between. When there are 10 people - say 15 euros;2;?;Being busy and useful;Spending time with friends
AI;no;0;mu;nee;female;slim;17.12.1997;2;yes;20;30;7;00:20;nature;friends
Digital Business and Innovation;no;unknown;mu;nee;male;fat;08-06-1996;0;no;60;100/470;10;23;Good food;Friends 
MSC AI VU;yes;0;mu;nee;male;slim;01-01-1990;0;yes;99;99 euros;438483848343885591030219481823;01:00;sun;getting shit done
AI;yes;1;mu;ja;male;fat;17-06-1992;0;no;10;5;33;1;A day where I have done all the things I wanted to do;A day with a nice surprise
Finance: Quantitative Risk Management;no;0;mu;nee;female;neither;14-05-1997;0;no;20;5;2;23:00;Sunshine;Friends
Business Analytics;yes;1;mu;ja;male;neither;6-12-2019;0;no;20;5;6;01:00;Doing something fun;Meeting friends
Computer Science;yes;0;mu;ja;female;fat;11-03-1997;0;no;30;0;6;23:04;Had a good night of sleep;No deadlines due
Artificial Intelligence;yes;0;mu;nee;male;fat;19-07;0;no;20;1;7;02:00;sunshine;good breakfast
Finance & Technology;yes;unknown;mu;nee;male;fat;3-8-1998;0;no;50;1;16;02:00;work out;play chess
Econometrics;yes;0;mu;nee;female;fat;16-04;0;no;60;-;6;3:00;nice weather;nice food
AI;yes;0;mu;nee;female;fat;20-03-1996;0;no;30;0;4;0;Sport;Be with friends
Econometrics;no;1;mu;nee;female;fat;26th of August;0;no;40;70;26;00:30;Passing all of my exams;Sunny weather
Artificial Intelligence;no;0;mu;nee;female;fat;02-07-1996;2;no;25;1;66;23:45;Good weather;Friends
Econometrics;no;0;mu;ja;female;fat;3 may 1996;1;no;0;75;1,4;23:30;Chilling in the sun;Going to the beach
BA;yes;1;mu;ja;female;neither;04-10-1995;1;no;10;10;4;23:00;nice breakfast;achieving something
Master Econometrics UvA;yes;0;mu;nee;female;fat;28-04-1997;3;no;40;20;2;23:30;nice weather ;good sleep
VU AI ;yes;0;mu;nee;female;fat;14 February;0;no;65;25;4;00:00;Treating myself;Enjoying what is out there
MSc Econometrics;yes;0;sigma;nee;female;fat;10-02-1996;0;yes;0;10;3;00:00;a good laugh ;friends around me 
Business Analytics;yes;0;mu;ja;female;fat;11-09-1999;0;no;15;1;8;2:30AM;Laughter;Food
CS;no;0;mu;ja;male;I have no idea what you are talking about;15-03-1992;0;no;10;10;9;00:35;Enough Sleep;Absence of rain
Business Analytics;yes;0;mu;ja;female;slim;23/06/1998;2;no;50;60;3;00:15;Interesting assignments;Sun/Beach/Sea
Master AI;no;0;mu;nee;female;neither;23-12-1993;1;no;60;€0,10;3;2:10 AM;Being productive on something I’m passionate about;Eating some very good food
MSc. Econometrics and Operations Research;no;0;mu;nee;female;I have no idea what you are talking about;April 20, 1997;1;no;30;5;1;23:59;Plans, not too much but just enough to fill the day;Time spent outside
Econometrics;no;0;mu;nee;female;unknown;04-03-1997;0;no;50;-;1;23:00;Sunshine;Playing with my pets
Business Administration;yes;0;mu;ja;male;fat;27-12-1993;1;no;60;1;8;1130pm;having fun;having good food
AI;yes;0;mu;ja;male;I have no idea what you are talking about;10-08-1997;0;no;5;5;22;6 AM;Being 25% productive;Having fun with friends
BA;yes;1;mu;ja;male;neither;january 17 1996;0;no;96;0;6;24;no corona measures;pie
Scientific Computing;yes;1;mu;ja;male;neither;28-12-1996;0;no;5;100/N;7;00:45;running;cooking something nice
Computer Science;yes;0;mu;ja;male;neither;17-10-1993;0;no;90;90;6;00:30;Great Food;Get up at 12 o'clock
Econometrics;yes;0;mu;nee;male;neither;2806;0;no;10;30;5;23:30;Sun;Music
Econometrics and Data Science;yes;0;mu;ja;male;fat;04/12/1991;4;no;90;50;7;4;study/assignments are going great;people that I like are attracted to me
MSc CS Big Data Engineering;yes;1;unknown;ja;male;neither;19;0;no;-1;-2147483648;four;N/A;\0;\0000
Bioinformatics and Systems Biology;yes;0;mu;ja;female;neither;17/10/1994;0;no;30;10;8;23:45;friends;beach
MSc AI Vrije Universiteit;yes;0;mu;ja;male;neither;17-7-1992;0;no;20;0;1;0:30;Sleep;Activity
Artificial Intelligence;yes;0;sigma;nee;unknown;slim;24-07-1990;0;unknown;99;0,2;4;2am;sex;More sex
Finance QRM;no;0;mu;nee;male;neither;04.06.1996;1;no;78;0,3;6;01:00;good news;breakfast
Master Business Analytics;yes;0;mu;ja;male;fat;17-09-1994;0;no;10;5;7;22:30;Golf;Football
Econometrics;yes;0;mu;ja;male;neither;20/07/1992;2;no;70;10;7;2:30;Good Coffee;Sun
Bioinformatics;yes;0;mu;nee;female;unknown;03.11.1989;1;no;60;25 euro;3;22:00;Sun ;No python errors
Computational science;no;0;mu;nee;male;I have no idea what you are talking about;03-27-1997;0;no;50;100;10;13;Movie;Music
Digital Business & Innovation;yes;1;mu;ja;male;fat;09-11-1995;0;no;60;1;10;2300;Beer;Sun
Bioinformatics;yes;0;mu;nee;female;fat;01-08-1997;1;no;5;0,2;3;22:30;sun;food
Bioinformatics;yes;0;mu;nee;male;fat;21/02/1998;0;no;10;1;4,2;2:00;Coffee;Temperature
Business Analytics;yes;0;mu;ja;female;slim;12-01-1998;0;no;32;0,2;5839235;23:30;Good night sleep;clear sky
Master's in Parallel and Distributed Computer Systems;no;1;unknown;ja;male;neither;in January;0;no;20;1%;42;02:00;work;lack of work
Artificial Intelligence;yes;unknown;mu;ja;male;neither;6 January;1;no;78;1;"7; DROP ALL TABLES;";Yesterday, all my troubles seemed so far away;"<h1>Breaking web forms"" \\ \ / "" ' # ^ \t \n </div> ";"""'""'""''''""'''/'/""/''/""\t\t\t\n""\'""'""`'"
Quantitative Risk Management (Finance);no;0;mu;nee;male;fat;18-07;0;no;20;1;7;23:30;Productive;Sun
Computational Science;no;0;mu;ja;female;neither;02-03-1998;0;no;10;1;6;1am;sunshine;being productive
Information sciences;yes;0;mu;ja;male;neither;18-05-1996;7;no;78;100;897858;04:05;good 8 hours sleep;nothing to do
Computational Science;yes;1;mu;nee;male;neither;31/07/96;0;no;45;20;5;23.00h;Nice weather;No stress
Msc Econometrics;no;0;mu;nee;male;neither;25-06-1995;1;no;10;10;7;00:50;breakfast;sun
MSc AI;no;0;mu;nee;male;fat;03-03-1996;3;no;0;2;10;24:00;Sunny weather;Having spare time
BA;yes;0;mu;ja;female;fat;27-03;1;no;60;1;8;22:00;Good company;Nice weather
business analytics;yes;0;unknown;ja;male;fat;03-04-1995;1;no;83;35;3;00:30;food;party
Duisenberg Honours Programme in Quantitative Risk Management ;no;0;mu;ja;male;fat;23/05/1996;0;no;70;100;7;01:00;Food;Friends
Business Analytics;yes;0;mu;ja;female;slim;13-03-1998;5;yes;50;70;8;0,3;Boxing;Seeing friends
BA;yes;0;mu;nee;male;fat;03-03-1994;0;no;70;(1/participents)*total amount given;3;02:00;Good coffee;Good weather
BA;yes;0;mu;nee;male;slim;26-06-1997;0;no;43;100;9;22:30;Good night of sleep;Weather
AI;yes;1;mu;ja;female;fat;17/04;2;no;85;10;29;2:00;sunshine;friends
MSc Artificial Intelligence (VU);no;0;mu;ja;male;neither;20 september;0;yes;10;10 euro de neus;23;yes;A good night's sleep;Fun
Artificial Intelligence Msc;unknown;0;sigma;unknown;female;I have no idea what you are talking about;21-01-1997;0;yes;89;30;78;0,23;my friends around me;my family surrounding me
Finance and Technology;yes;0;mu;nee;female;fat;25 april;0;no;40;10;24;2;sleep-in;nice food
Master of Finance;no;0;mu;nee;male;fat;30-10-1996;0;no;100;5;25;1 am;Sunny once I open the curtains;Breakfast burrito or a burrito from Salsa Shop
Artificial Intelligence track on Cognitive Science;yes;0;mu;ja;male;neither;04/03/1994;4;yes;17;43;7;01:30;bright sun in a very cold day;playing basketball
MSc . Computer Science - Big Data Engineering;no;0;mu;ja;male;I have no idea what you are talking about;15/07;1;no;-100;1;8;01:00 AM;nice breakfast;sunny weather
AI;yes;1;mu;ja;female;neither;22/11/1998;1;no;40;2;3;00:30;Enough sleep;Sunshine
econometrics;no;0;sigma;ja;male;slim;1995;3;no;100;50;3;1;foood;food
CS;no;0;mu;ja;female;I have no idea what you are talking about;08-12;0;no;50;70;7;24;08-12;08-03
Artificial Intelligence ;yes;0;mu;nee;male;neither;October 17;1;no;0;100;17101991;15:00;Doing coding for my personal project with Mozart playing in the headphones;Good gym session in the morning 
Artificial Intelligence;yes;0;sigma;nee;male;I have no idea what you are talking about;08/06/1995;2;no;12;100;27;22;Yes ;Yes (2)
AI;no;1;mu;nee;male;neither;20/09/1996;0;no;30;0,5;9;22:00;Having plans;Meeting with friends
AI;yes;0;mu;ja;male;neither;22.07.1993;3;no;25;0;13;3:00;accomplishing my goals;playing with my dog
Finance & Technology;yes;0;mu;nee;male;fat;06-06-1996;0;no;30;1;7;23:59;Being productive;Eating healthy food
quantitative risk management;no;0;sigma;nee;male;fat;6 march;4;no;0;100;6;2330;champions league;football
Computer Science;yes;0;mu;ja;male;unknown;19-12;0;no;20;?;37;1:00;?;?
Finance (Quantitative risk management);no;1;mu;ja;female;fat;09-12-1997;0;no;80;85;8;12;Good weather;schedule with friends
Physics and Astronomy;no;0;mu;ja;female;neither;16-09-1994;1;no;50;0;8;00:30:00;Being outside in sunny weather.;Being productive doing things that interest me.
Computer Science;yes;0;sigma;ja;male;I have no idea what you are talking about;12.07.1989;0;no;65;1 euro;42;11 pm;Good Food;Nice People around me
Econometrics;yes;0;mu;nee;female;neither;15-09-1997;1;no;30;5;5;23:30;Meeting my friends;Nice weather
AI;yes;0;mu;ja;male;neither;----;0;no;10;1;3;23:50;Sunshine;Sports
Exchange;yes;0;mu;ja;female;I have no idea what you are talking about;19.3.1993;1;no;50;10;7;00:00;no alarm;good weather
Business Analytics;yes;unknown;mu;ja;female;neither;july 22;0;no;20;0;37;23;People around you;What I have planned that day
BA;yes;1;mu;ja;female;neither;28-05-1998;0;no;25;30;3;22:00;sporting;reading a book
Computer Science;no;1;mu;ja;female;unknown;20-08-1997;0;no;90;60;3;1:00 AM;Doing my activities as planned;Have enough time to relax and free my mind
BA;yes;0;mu;nee;male;fat;19 June;0;no;30;0;7;12;Nice Meals;Sport
Computational Science;no;0;mu;nee;female;neither;17-11-1998;0;no;60;2,50;12345;22:00;Nice weather;Being productive
Big Data Engineering;no;1;mu;ja;male;fat;01-09-1994;0;no;10;20;56217895624785142589635562651560666526;23:45;Things go according to my schedule;Successful results for my work
AI;no;0;mu;nee;male;fat;28-10-1993;1;no;60;Less;7;01:00;Weather;Seeing friends
CS;no;1;mu;ja;male;neither;24.08.1995;0;no;5;10;8;1:30;good weather;got money
Master Digital Business & Innovation (SBE);no;0;sigma;nee;male;neither;23/09/1994;1;no;30;20;3;00:20;Finished some tasks;Exercise 
AI;no;unknown;mu;ja;female;fat;25/04/1996;0;no;15;4;8;23:30;Productive/active;Feeling content at the end of the day
Health sciences;yes;1;mu;ja;male;neither;03-04-1996;2;no;0,5;Depends on the amount of participants ;7,6;00:45;Exercise;Achieved at least one thing I wanted
Human movement science research master;no;0;mu;nee;male;neither;13-03-1997;0;no;40;1;666;11;company;skating
Computer Science;yes;0;mu;ja;male;fat;15-12-1996;0;no;0;69;7;23:00;Sunshine;No quarantine
CS;yes;0;sigma;ja;male;neither;11th of August;0;no;25;0,2;3;22:30;A good night's sleep;Breakfast
Masters in Artificial Intelligence;no;0;mu;ja;male;neither;24th Jan 1996;0;no;10;50;141100267;16:14;Being Alive for the day;Competing myself from when compared to yesterday
AI;no;0;mu;ja;male;neither;24-01-1996;0;no;0;60;7;23:30;Gym ;Improving myself
Computational Science;no;0;mu;nee;female;neither;03/08/1996;0;no;12;7;3;23:45;Being productive;Have fun with my friends
BA;yes;0;mu;ja;female;fat;27-06-1991;1;no;70;25;8;23:30;Sunny weather;Running
Human Language Technology;yes;0;mu;nee;female;neither;25-10;0;no;50;0,20;8;1:30;nice weather;social interaction
Bioinformatics and Systems Biology;yes;0;mu;nee;male;neither;27/02;0;no;75;a fiver;72;12:00 am;Some time off for once;When I can support my hobby
Msc Artificial Intelligence (UvA);yes;1;mu;nee;male;neither;04/march - 1996;0;no;30;40;2;0:40;having time for myself;having a clear view of work that needs to be done the coming day(s)
Computational Science;no;1;mu;nee;male;fat;27-06;0;no;20;0;2;23:30;Waking up rested;Going out to take photos
AI;no;0;mu;ja;male;neither;12-09-1998;1;no;30;2;2;23:30;Alcohol;A good night sleep
Computational Science/AI;yes;1;mu;nee;female;neither;12-07-1994;1;no;30;5;7;23:30;sun;seeing friends
BA;yes;1;mu;ja;male;neither;08-01;1;no;20;25;7;01:20;Don't get up too late;Sport
Computational Science;yes;0;mu;nee;male;neither;07-02-1996;0;no;60;1;6;23:30;Sun;Drumming
Bioinformatics and Systems biology;yes;0;mu;ja;male;neither;11-12-1997;0;no;5;10;2;23:30;Spending time with friends;Early morning stroll
CS;no;1;mu;ja;female;fat;19951230;0;no;60;30;7;1;finish planned work ;nice dinner
Finance;yes;0;mu;nee;male;neither;06-10-1996;16;no;50;5;66;23;Good grade;Holiday
CS;yes;1;sigma;ja;male;fat;22-06-1998;0;no;5;35;3;2;Nice weather;Going to the gym
Information Sciences (MSC);yes;1;mu;ja;male;fat;12-10-1995;1;no;50;5;5;01:00;Meeting my girlfriend;Making money
BA;yes;1;mu;ja;female;fat;19/12/1996;2;no;20;10;8;22:30;My mood;The people I'm spending my day with
Digital Business & Innovation;yes;0;sigma;nee;male;fat;14-04-1995;0;no;55;€0,21;5;00:30;Ajax winning a match;A productive day at uni/work
Bioinformatics and systems biology master;yes;1;mu;ja;female;neither;27-03-1998;0;no;60;50;6;22:00;Going outside ;When I have nothing to do 
Artificial intelligence;yes;unknown;mu;ja;female;neither;03-04-1996;0;yes;20;10;3;23:30;Sports;Chocolate
Master Artificial Intelligence;yes;1;mu;ja;female;I have no idea what you are talking about;February 2nd;1;no;68;all the money you have;8;00:00;Sun;Sunday
Artificial Intelligence (UvA);yes;1;mu;ja;female;I have no idea what you are talking about;28-10-1997;1;no;75;amount of money / number of people;5;00:30;puppies;-
BA;yes;1;mu;ja;male;neither;25-07-94;0;no;30;equally divided;7;23:00;Early wakeup;Gym
AI;yes;1;mu;ja;male;fat;18-07-1998;1;no;60;0,2;42;00:00;A good start. (breakfast, coffee);A purpose 
Computational Science (joint UvA/VU);yes;0;mu;nee;female;fat;24,03;0;no;30;30;38;00:00;Dogs;A cup of latte
MSc;yes;0;mu;ja;female;fat;1986;2;no;80;60;6;06:00 am;Sun ;warm wheather
Bioinformatics and Systems Biology;no;0;mu;ja;female;neither;24-12-1994;0;yes;60;0.20 euro;6;22:31;lauging;being outside
Bioinformatics;yes;0;mu;nee;female;fat;11-12-1997;0;no;85;80;2;23:00;Sun;Exercise 
Computational Science;yes;0;mu;unknown;male;neither;09-11-1994;0;no;30;99;10;00:01;Sun;Money
AI UVA;yes;1;mu;unknown;male;neither;26/1/1993;1;no;23;i deserve the dopamine that ill get solving the assignments. I dont want to use money as a metric. If you really need a number have the number 29.;1,618;05:00;learned a new thing and how it works;fact that its a new day
Msc Artificial Intelligence;no;0;mu;nee;female;fat;19-02-1997;zero;no;67;0;7;23:30;sun;friends
Business Analytics;yes;0;mu;ja;female;slim;15-08;1;no;25;Everyone 1 euro;4;1,3;Friends;Food
Computational Science;yes;1;mu;nee;male;fat;21-12-1996;1;no;5;0,25;4;01:00;Work-out.;Achieved a pre-set goal.
computational science;yes;0;unknown;nee;male;fat;10-11-1993;0;no;-1;100;69;The Beatles;gaming;bitches
Digital Business and Innovation;no;0;unknown;nee;male;fat;21-12-1994;0;no;80;99;1234;23:30;no corona;Data mining
Computer Science;yes;1;mu;ja;male;fat;03-04-1998;0;no;20;0,1;472;0;Nice weather;no stress
Bioinformatics;yes;0;unknown;nee;male;fat;23-02-1996;0;no;81;26;69;22:30;enough sleep;beer
CS;no;1;sigma;ja;male;I have no idea what you are talking about;12.10.1997;1;yes;0;100;5;23;Payday;No corona
Econometrics and Operations Research;yes;0;mu;nee;female;neither;15-01-1992;1;no;35;1;6;23:30;Being outside in the sun;Doing meaningful things
Computational Science;no;0;mu;nee;female;fat;22/11;700;unknown;43;1E+12;4;17;talk with my friends and family;complete what I have in the program
Econometrics and data science;no;0;mu;nee;female;neither;19-11;0;no;50;20;3;23:00;Sunshine;Nice dinner
Information studies: Data Science track at UVA;yes;0;sigma;nee;female;neither;12-07-1995;1;no;73;100;7;01:03:00;Temperature;When my boyfriend cleans something in the house without me asking
Artificial Intelligence;no;0;mu;nee;female;fat;10-11-1995;1;no;30;20;3;22:30;Sun;Friends
Bioinformatics and Systems Biology;yes;0;mu;nee;male;neither;09-02-1995;0;no;15;100/n;9;23,45;Fun (outdoor) activities;Wheather
M.Sc. Artificial Intelligence;no;0;mu;ja;male;neither;11/05/1993;4;no;70;100 euros + 10 more euros for good luck.;63;Technically I went to sleep today (01:15);When I hit all the green lights while driving.;Something sudden and fascinating happens.
Bioinformatics and Systems Biology;yes;0;mu;nee;male;fat;16-12-1996;0;no;60;0,2;1279;2h30;Sunny day;Productive but with time to relax
Bioinformatics and Systems Biology;yes;0;mu;nee;female;neither;12-02-1994;0;no;45;10;7;22:30;Sun shine;Day off
Bioinformatics;yes;0;mu;ja;male;fat;24-09-1997;0;no;33;1000;5;11;Food;Sleep
Information Studies (track: Information Systems);no;1;mu;ja;male;fat;August 13;2;no;20;0;10;12;A day spend with football;A day where I laugh almost 24 hours straight
medical informatics;yes;0;mu;ja;female;fat;08/07/1996;0;no;60;1;1;0;go out;dancing
Research Master Human Language Technology;yes;unknown;mu;unknown;female;neither;19-11-1998;0;no;32;100;19;00:30;Having good food;Hanging out with friends
econometrics and operation research;yes;0;mu;nee;female;fat;8,05;0;no;40;20;9;3:30;good food;finish my schedule
EOR;yes;1;mu;ja;female;fat;05-05-1995;0;no;30;10;5;1:30 AM;Sunshine;Friends
Computational Science;yes;0;mu;nee;male;fat;16/02/1996;0;no;20;5;4;1am;Nice weather;Chilling out
BA;yes;0;mu;ja;male;slim;09-08-1998;0;no;50;5;9;23;Free day;Sunny
Master Computational Science ;yes;0;mu;ja;male;neither;30-06-1995;0;no;30;7;2;03:00;Drinks on Friday;Good weather
Physics and Astronomy: GRAPPA;yes;1;mu;ja;male;I have no idea what you are talking about;5th of June;4;no;50;100/#students;nine;01:30;Meet Goals;Good food
Human Language Technologies (Humanities Research);yes;unknown;unknown;nee;female;fat;22-09-1997;2;no;35;5;56;0;Sunshine;Going outside
MSc Computational Science;yes;0;mu;nee;male;fat;22-08-1996;0;no;20;5;9;23:00;good food;No qurantine
Computational Science;no;0;mu;nee;male;neither;11-12-1994;0;no;69;69;420,69;01:00 ;being productive and sharp;having fun with friends and drinks but now quarantines so sads...
BA;yes;0;mu;ja;male;fat;April 3;1;unknown;80;?;57;2:30;Not being in semi-lockdown;The feeling to have made progress
Artificial Intelligence;yes;1;mu;ja;male;fat;06-07-1997;0;no;37;100;a random number;Twelve;No lectures tbh;Still no lectures
Bioinformatics;yes;1;mu;nee;male;neither;14-03-1995;0;no;40;5;3;23:00;Sport;Social interaction
MSc Econometrics;yes;0;mu;nee;male;neither;24-09-1997;0;no;30;1/470;1;01:00;Productivity;Family
Computational Science;yes;1;sigma;nee;male;slim;24-02-1997;1;no;5;1;3;0;Grapefruits;Other juicy stuff
MSc Bioinformatics;yes;0;sigma;nee;female;neither;10/07/1997;1;no;60;10;7;1am;Sun;People
Artificial Intelligence and Cognitive Science;unknown;0;mu;ja;unknown;neither;13-06-1993;0 - I'm Quarantining :(;no;10;6;13;3 am;other people;dancing
AI;yes;0;mu;ja;female;neither;26-09-1997;0;no;67;0;3,14;02:45;Getting some exercise;Laugh with friends
Bioinformatics and Systems Biology;yes;0;sigma;nee;female;slim;10 October;0;no;0;70;3;0,2;Nice people;Sports
Computational science;no;0;mu;nee;male;fat;28-06-1995;1;unknown;14;8;9;01:00;Enough food;Nice people around me
Master Artificial Intelligence;yes;0;mu;ja;male;I have no idea what you are talking about;15-11;0;no;50;0;22;03:00;A good night's rest;Nice weather
Business analytics;yes;1;mu;ja;male;I have no idea what you are talking about;25/10/1993;0;no;75;💯;454;2:00;Good company;Good food
Computer Science;yes;0;mu;nee;female;I have no idea what you are talking about;March 15;0;no;65;1 euro ;4;2:30;nice interactions with people;good food
Econometrics;yes;0;mu;nee;female;fat;03-01-1997;0;no;30;50;99;22:00;Good food;Good company
AI;yes;0;mu;ja;male;fat;19960629;0;no;76;5;88;12:02;sunshine;less wind
MSc Datascience UVA;yes;0;sigma;nee;male;unknown;12-02-1975;2;yes;35;50;8;2 am;Sunshine;Temp higher than 20C
Artificial Intelligence;yes;0;mu;ja;male;neither;5 April;2;no;95;1;726;03:00;Good food;Learning something useful
AI;unknown;0;mu;nee;male;unknown;23/11/96;0;no;65;100/participants - 10%;0;4 am;Being productive;playing video games or reading a book
business analytics;yes;0;mu;ja;female;fat;02/12/1994;0;no;40;30;7;1pm;a nice chat with friends;good meal
AI;yes;1;mu;ja;male;fat;18-11;0;no;70;80;7,88;2am;Good weather;If I can still buy enough food
MSc Computational Science;no;0;mu;nee;female;fat;20/02/1997;0;no;50;1;7;7am;Socialising;No stress
CS;no;1;mu;ja;female;neither;10th;0;no;40;70;6;1;Great weather;Connect with friends or family
AI;no;0;mu;nee;female;neither;april 8th;1;no;47;0.30 euros;3;23,2;postive social interactions;voluntary early mornings
Computer Science;no;0;mu;ja;male;fat;14/03/1996;0;no;86;Very much.;952186458,6;11:52;Winning a lottery.;Laughing a lot.
exchange;no;0;mu;ja;male;I have no idea what you are talking about;16/04/1996;0;unknown;61;I do not deserve them.;95;23:00;chocolate;good grade
exchange;no;0;mu;ja;male;fat;16/04/1996;0;no;61;99;6;23:00;good grades.;smiling a lot.
CS;yes;1;mu;ja;male;slim;1990-08-31;0;no;40;0;5;00:45;Sticking to my schedule;making friends 
Computational Science;no;0;mu;nee;female;slim;19/01/1993;0;no;15;100/num of students;5;1 am;playing pool;seeing friends
Master Computational Science;no;0;mu;nee;female;neither;13-03-1994;0;no;10;2 euros for being present hehe;7;11:15;Being outside;Eating healthy
Computer Science;yes;0;mu;ja;female;I have no idea what you are talking about;0402;2;no;70;75;5;12;Finished all assignments;Seeing an update of my favorite TV series 
MS CS big data engineering ;no;0;unknown;ja;male;neither;11/09/1990;0;no;10;100;163;2am;Sunlights;smoked salmon
Computational Science;no;0;mu;ja;female;slim;04/04/1995;1;no;15;2;464;23:45;food;friends
Computer Science;yes;1;mu;ja;female;fat;11-04;100;no;8-100;0,5;9;6;1;2
MSc in AI ;no;0;mu;nee;female;neither;02-11;0;no;0;50;3;didn't go to be;Sleep;Food
CLS;no;0;mu;ja;male;slim;29 Oct;0;no;50;0;100000;1am;Quick breakfast;Coffee
